text,tweets_transform,etiqueta
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,upset  update Facebook texting  might cry result School today also  Blah,Neutro
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,dived many times ball  Managed save 50 rest go bounds,Contento
my whole body feels itchy and like its on fire ,whole body feels itchy like fire,Contento
@Kwesidei not the whole crew ,whole crew,Contento
Need a hug ,Need hug,Neutro
@Tatiana_K nope they didn't have it ,K nope ,Neutro
@twittera que me muera ? ,que muera ,Neutro
spring break in plain city... it's snowing ,spring break plain city   snowing,Molesto
I just re-pierced my ears ,repierced ears,Neutro
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . ., bear watch  thought UA loss embarrassing     ,Neutro
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,wish got watch miss premiere ,Neutro
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Hollis  death scene hurt severely watch film wry directors cut ,Neutro
about to file taxes ,file taxes,Neutro
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,ahh ive always wanted see rent love soundtrack,Contento
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Oh dear  drinking forgotten table drinks ,Neutro
@alydesigns i was out most of the day so didn't get much done ,day  get much done,Contento
@angry_barista I baked you a cake but I ated it ,barista baked cake ated,Neutro
this week is not going as i had hoped ,week going hoped,Neutro
blagh class at 8 tomorrow ,blagh class 8 tomorrow,Neutro
I hate when I have to call and wake people up ,hate call wake people,Hater
Just going to cry myself to sleep after watching Marley and Me.  ,going cry sleep watching Marley ,Neutro
im sad now  Miss.Lilly,im sad Miss  Lilly,Molesto
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,ooooh   LOL leslie   ok  leslie  get mad,Contento
Meh... Almost Lover is the exception... this track gets me depressed every time. ,Meh  Almost Lover exception  track gets depressed every time ,Neutro
some1 hacked my account on aim  now i have to make a new one,some1 hacked account aim make new one,Neutro
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,want go promote GEAR GROOVE unfornately ride may b going one Anaheim May though,Neutro
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,thought sleeping option tomorrow realizing  evaluations morning work afternoon,Neutro
@julieebaby awe i love you too!!!! 1 am here  i miss you,awe love 1 miss,Contento
@HumpNinja I cry my asian eyes to sleep at night ,cry asian eyes sleep night,Neutro
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,ok  sick spent hour sitting shower cause sick stand held back puke like champ  BED,Molesto
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,ill tell ya story later good day ill workin like three hours ,Neutro
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,sorry bed time came  GMT 1 ,Molesto
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. , either  depressing   think even want know kids suitcases ,Molesto
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,Bed  Class 812  Work 123  Gym 35 6  class 610  Another day  gonna fly  miss girlfriend,Muy Feliz
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,really  feel like getting today  got study tomorrows practical exam ,Contento
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart , reason teardrops guitar one enough break heart,Neutro
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,Awww soo wish see finally comfortable Im sad missed,Neutro
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,Falling asleep  heard Tracy girl  body found  sad heart breaks family ,Molesto
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,Yay  happy job also means less time ,Contento
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,Oh man  ironing  fave top wear meeting  Burnt,Contento
is strangely sad about LiLo and SamRo breaking up. ,strangely sad LiLo SamRo breaking ,Molesto
@tea oh! i'm so sorry  i didn't think about that before retweeting.,oh  sorry  think retweeting ,Molesto
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,Broadband plan  massive broken promise  via www  diigo  com tautao Still waiting broadband,Neutro
our duck and chicken are taking wayyy too long to hatch ,duck chicken taking wayyy long hatch,Molesto
I need a hug ,need hug,Neutro
@oanhLove I hate when that happens... ,hate happens ,Hater
Ugh....92 degrees tomorrow ,Ugh   92 degrees tomorrow,Neutro
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,u move  thought u already sd    Hmmm  Random u found  Glad hear yer well ,Neutro
just leaving the parking lot of work! ,leaving parking lot work,Neutro
The Life is cool. But not for Me. ,Life cool  ,Contento
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,nice day  bad rain comes tomorrow 5am,Neutro
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,bad  around lost job  even pay phone bill lmao aw shucks,Neutro
Damm back to school tomorrow ,Damm back school tomorrow,Neutro
@katortiz  Not forever... See you soon!,forever  See soon,Neutro
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,Oh Haha  dude dont really look em unless someone says HEY ADDED  Sorry  terrible  need pop,Molesto
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!, sure  right  need start working Nikster  Jared least,Neutro
i really hate how people diss my bands!  Trace is clearly NOT ugly!,really hate people diss bands Trace clearly ugly,Hater
Why won't you show my location?!   http://twitpic.com/2y2es, show location ,Neutro
No picnic  my phone smells like citrus.,picnic phone smells like citrus ,Neutro
No new csi tonight.  FML,new csi tonight  FML,Neutro
i think my arms are sore from tennis ,think arms sore tennis,Neutro
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,wonders someone u like much make unhappy split seccond  depressed ,Neutro
sleep soon... i just hate saying bye and see you tomorrow for the night. ,sleep soon  hate saying bye see tomorrow night ,Hater
missin' the boo ,missin  boo,Neutro
@markhardy1974 Me too  #itm,itm,Neutro
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,Damn   chalk CHALKBOARD USELESS,Molesto
@msdrama hey missed ya at the meeting  sup mama,hey missed ya meeting sup mama,Neutro
why is it always the fat ones?! ,always fat ones ,Neutro
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,paid attention covered photoshop webpage design class undergrad,Neutro
wednesday my b-day! don't know what 2 do!! ,wednesday bday  know 2,Neutro
Poor cameron (the hills) ,Poor cameron  hills ,Molesto
