text,tweets_transform,polarity
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,upset  update Facebook texting  might cry result School today also  Blah,0.0
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,dived many time ball  Managed save 50 rest go bound,0.5
my whole body feels itchy and like its on fire ,whole body feel itchy like fire,0.2
@Kwesidei not the whole crew ,whole crew,0.2
Need a hug ,Need hug,0.0
@Tatiana_K nope they didn't have it ,K nope ,0.0
@twittera que me muera ? ,que muera ,0.0
spring break in plain city... it's snowing ,spring break plain city   snowing,-0.21428571428571427
I just re-pierced my ears ,repierced ear,0.0
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . ., bear watch  thought UA loss embarrassing     ,0.0
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,wish got watch miss premiere ,0.0
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Hollis  death scene hurt severely watch film wry director cut ,0.0
about to file taxes ,file tax,0.0
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,ahh ive always wanted see rent love soundtrack,0.5
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Oh dear  drinking forgotten table drink ,0.0
@alydesigns i was out most of the day so didn't get much done ,day  get much done,0.2
@angry_barista I baked you a cake but I ated it ,barista baked cake ated,0.0
this week is not going as i had hoped ,week going hoped,0.0
blagh class at 8 tomorrow ,blagh class 8 tomorrow,0.0
I hate when I have to call and wake people up ,hate call wake people,-0.8
Just going to cry myself to sleep after watching Marley and Me.  ,going cry sleep watching Marley ,0.0
im sad now  Miss.Lilly,im sad Miss  Lilly,-0.5
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,ooooh   LOL leslie   ok  leslie  get mad,0.225
Meh... Almost Lover is the exception... this track gets me depressed every time. ,Meh  Almost Lover exception  track get depressed every time ,0.0
some1 hacked my account on aim  now i have to make a new one,some1 hacked account aim make new one,0.13636363636363635
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,want go promote GEAR GROOVE unfornately ride may b going one Anaheim May though,0.0
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,thought sleeping option tomorrow realizing  evaluation morning work afternoon,0.0
@julieebaby awe i love you too!!!! 1 am here  i miss you,awe love 1 miss,0.5
@HumpNinja I cry my asian eyes to sleep at night ,cry asian eye sleep night,0.0
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,ok  sick spent hour sitting shower cause sick stand held back puke like champ  BED,-0.20571428571428568
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,ill tell ya story later good day ill workin like three hour ,-0.07500000000000001
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,sorry bed time came  GMT 1 ,-0.5
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. , either  depressing   think even want know kid suitcase ,-0.6
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,Bed  Class 812  Work 123  Gym 35 6  class 610  Another day  gonna fly  miss girlfriend,0.8
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,really  feel like getting today  got study tomorrow practical exam ,0.2
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart , reason teardrop guitar one enough break heart,0.0
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,Awww soo wish see finally comfortable Im sad missed,0.10000000000000002
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,Falling asleep  heard Tracy girl  body found  sad heart break family ,-0.5
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,Yay  happy job also mean le time ,0.24375000000000002
